cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CB716000000031;71153/USZ/TR 60 1499;"CD71-FTTH-USZ;36FO - TR 60 1499";ND716000000112;ND716000000202;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;71.189;;;29/08/2022 00:00;;;;
CB716000000032;71153/USZ/TR 60 1504;"CD71-FTTH-USZ;12FO - TR 60 1504";ND716000000026;ND716000000132;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;128.528;;;29/08/2022 00:00;;;;
CB716000000033;71153/USZ/TR 60 1505;"CD71-FTTH-USZ;12FO - TR 60 1505";ND716000000132;ND716000000133;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;58.599;;;29/08/2022 00:00;;;;
CB716000000034;71153/USZ/TR 60 1506;"CD71-FTTH-USZ;12FO - TR 60 1506";ND716000000026;ND716000000174;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;304.049;;;29/08/2022 00:00;;;;
CB716000000035;71153/USZ/TR 60 1507;"CD71-FTTH-USZ;12FO - TR 60 1507";ND716000000174;ND716000000172;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;63.918;;;29/08/2022 00:00;;;;
CB716000000036;71153/USZ/TR 60 1500;"CD71-FTTH-USZ;24FO - TR 60 1500";ND716000000026;ND716000000021;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;111.558;;;29/08/2022 00:00;;;;
CB716000000037;71153/USZ/TR 60 1501;"CD71-FTTH-USZ;24FO - TR 60 1501";ND716000000021;ND716000000109;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;85.676;;;29/08/2022 00:00;;;;
CB716000000038;71153/USZ/TR 60 1502;"CD71-FTTH-USZ;24FO - TR 60 1502";ND716000000109;ND716000000145;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;30.479;;;29/08/2022 00:00;;;;
CB716000000039;71153/USZ/TR 60 1503;"CD71-FTTH-USZ;24FO - TR 60 1503";ND716000000145;ND716000000203;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;11.074;;;29/08/2022 00:00;;;;
CB716000000040;71153/USZ/TR 60 1508;"CD71-FTTH-USZ;12FO - TR 60 1508";ND716000000026;ND716000000115;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;96.520;;;29/08/2022 00:00;;;;
CB716000000041;71153/USZ/TR 60 1509;"CD71-FTTH-USZ;12FO - TR 60 1509";ND716000000115;ND716000000207;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;13.503;;;29/08/2022 00:00;;;;
CB716000000042;71153/USZ/TR 60 1510;"CD71-FTTH-USZ;6FO - TR 60 1510";ND716000000026;ND716000000105;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;53.722;;;29/08/2022 00:00;;;;
CB716000000043;71153/USZ/TR 60 1511;"CD71-FTTH-USZ;6FO - TR 60 1511";ND716000000026;ND716000000118;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;6.509;;;29/08/2022 00:00;;;;
CB716000000044;71153/USZ/TR 60 1512;"CD71-FTTH-USZ;6FO - TR 60 1512";ND716000000026;ND716000000063;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;33.999;;;29/08/2022 00:00;;;;
