pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000046;0208011/71059;CD71-0208011/71059;ND716000000046;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000047;0208035/71059;CD71-0208035/71059;ND716000000047;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000048;0208047/71059;CD71-0208047/71059;ND716000000048;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000049;0208012/71059;CD71-0208012/71059;ND716000000049;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000050;0208014/71059;CD71-0208014/71059;ND716000000050;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000051;0208030/71059;CD71-0208030/71059;ND716000000051;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000052;0208034/71059;CD71-0208034/71059;ND716000000052;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000053;0208038/71059;CD71-0208038/71059;ND716000000053;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000054;0208039/71059;CD71-0208039/71059;ND716000000054;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000055;0208052/71059;CD71-0208052/71059;ND716000000055;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000056;0208055/71059;CD71-0208055/71059;ND716000000056;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000057;0206979/71059;CD71-0206979/71059;ND716000000057;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000058;0208057/71059;CD71-0208057/71059;ND716000000058;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000059;0208032/71059;CD71-0208032/71059;ND716000000059;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000060;0208033/71059;CD71-0208033/71059;ND716000000060;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000061;0208037/71059;CD71-0208037/71059;ND716000000061;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000062;BT87/71059;CD71-BT87/71059;ND716000000062;;;;OR000000000002;OR000000000002;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000063;0206978/71059;CD71-0206978/71059;ND716000000063;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000064;0206914/71059;CD71-0206914/71059;ND716000000064;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000065;0206937/71059;CD71-0206937/71059;ND716000000065;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000066;0206940/71059;CD71-0206940/71059;ND716000000066;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000067;0206941/71059;CD71-0206941/71059;ND716000000067;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000068;0206943/71059;CD71-0206943/71059;ND716000000068;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000069;0206944/71059;CD71-0206944/71059;ND716000000069;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000070;0206945/71059;CD71-0206945/71059;ND716000000070;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000071;0208049/71059;CD71-0208049/71059;ND716000000071;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000072;A717365/71059;CD71-A717365/71059;ND716000000072;;;;OR710000000571;OR710000000005;;LOC;REC;NC;;;C;A;I;;PIND;f;;;;SIMPLE;8.00;;;;;;29/08/2022 00:00;;;;
PT716000000073;0208028/71059;CD71-0208028/71059;ND716000000073;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000074;0208029/71059;CD71-0208029/71059;ND716000000074;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000075;0208005/71059;CD71-0208005/71059;ND716000000075;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000076;0208031/71059;CD71-0208031/71059;ND716000000076;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000077;0208036/71059;CD71-0208036/71059;ND716000000077;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
