cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
CB716000000051;CD716000000209;29/08/2022 00:00;;;;
CB716000000052;CD716000000004;29/08/2022 00:00;;;;
CB716000000052;CD716000000048;29/08/2022 00:00;;;;
CB716000000053;CD716000000205;29/08/2022 00:00;;;;
CB716000000054;CD716000000208;29/08/2022 00:00;;;;
CB716000000054;CD716000000210;29/08/2022 00:00;;;;
CB716000000055;CD716000000055;29/08/2022 00:00;;;;
CB716000000056;CD716000000203;29/08/2022 00:00;;;;
CB716000000056;CD716000000204;29/08/2022 00:00;;;;
CB716000000057;CD716000000005;29/08/2022 00:00;;;;
CB716000000057;CD716000000016;29/08/2022 00:00;;;;
CB716000000057;CD716000000043;29/08/2022 00:00;;;;
CB716000000058;CD716000000212;29/08/2022 00:00;;;;
CB716000000059;CD716000000211;29/08/2022 00:00;;;;
CB716000000060;CD716000000006;29/08/2022 00:00;;;;
CB716000000061;CD716000000170;29/08/2022 00:00;;;;
CB716000000062;CD716000000168;29/08/2022 00:00;;;;
CB716000000063;CD716000000166;29/08/2022 00:00;;;;
CB716000000064;CD716000000005;29/08/2022 00:00;;;;
CB716000000064;CD716000000052;29/08/2022 00:00;;;;
CB716000000064;CD716000000097;29/08/2022 00:00;;;;
CB716000000065;CD716000000213;29/08/2022 00:00;;;;
CB716000000065;CD716000000214;29/08/2022 00:00;;;;
CB716000000066;CD716000000064;29/08/2022 00:00;;;;
CB716000000067;CD716000000167;29/08/2022 00:00;;;;
CB716000000067;CD716000000169;29/08/2022 00:00;;;;
CB716000000067;CD716000000171;29/08/2022 00:00;;;;
CB716000000067;CD716000000172;29/08/2022 00:00;;;;
CB716000000068;CD716000000058;29/08/2022 00:00;;;;
CB716000000068;CD716000000074;29/08/2022 00:00;;;;
CB716000000068;CD716000000101;29/08/2022 00:00;;;;
CB716000000068;CD716000000200;29/08/2022 00:00;;;;
CB716000000068;CD716000000201;29/08/2022 00:00;;;;
CB716000000069;CD716000000202;29/08/2022 00:00;;;;
CB716000000070;CD716000000058;29/08/2022 00:00;;;;
CB716000000070;CD716000000092;29/08/2022 00:00;;;;
CB716000000070;CD716000000244;29/08/2022 00:00;;;;
CB716000000071;CD716000000056;29/08/2022 00:00;;;;
CB716000000071;CD716000000058;29/08/2022 00:00;;;;
CB716000000072;CD716000000079;29/08/2022 00:00;;;;
CB716000000073;CD716000000019;29/08/2022 00:00;;;;
CB716000000073;CD716000000265;29/08/2022 00:00;;;;
CB716000000073;CD716000000301;29/08/2022 00:00;;;;
CB716000000073;CD716000000302;29/08/2022 00:00;;;;
CB716000000073;CD716000000308;29/08/2022 00:00;;;;
CB716000000073;CD716000000310;29/08/2022 00:00;;;;
CB716000000074;CD716000000028;29/08/2022 00:00;;;;
CB716000000074;CD716000000070;29/08/2022 00:00;;;;
CB716000000075;CD716000000033;29/08/2022 00:00;;;;
CB716000000075;CD716000000091;29/08/2022 00:00;;;;
CB716000000075;CD716000000184;29/08/2022 00:00;;;;
CB716000000076;CD716000000184;29/08/2022 00:00;;;;
CB716000000076;CD716000000307;29/08/2022 00:00;;;;
CB716000000077;CD716000000183;29/08/2022 00:00;;;;
CB716000000078;CD716000000182;29/08/2022 00:00;;;;
CB716000000078;CD716000000183;29/08/2022 00:00;;;;
CB716000000079;CD716000000180;29/08/2022 00:00;;;;
CB716000000080;CD716000000178;29/08/2022 00:00;;;;
CB716000000080;CD716000000179;29/08/2022 00:00;;;;
CB716000000081;CD716000000015;29/08/2022 00:00;;;;
CB716000000082;CD716000000226;29/08/2022 00:00;;;;
CB716000000083;CD716000000225;29/08/2022 00:00;;;;
CB716000000084;CD716000000224;29/08/2022 00:00;;;;
CB716000000085;CD716000000185;29/08/2022 00:00;;;;
CB716000000085;CD716000000269;29/08/2022 00:00;;;;
CB716000000085;CD716000000279;29/08/2022 00:00;;;;
CB716000000086;CD716000000070;29/08/2022 00:00;;;;
CB716000000086;CD716000000089;29/08/2022 00:00;;;;
CB716000000086;CD716000000305;29/08/2022 00:00;;;;
CB716000000087;CD716000000089;29/08/2022 00:00;;;;
CB716000000087;CD716000000258;29/08/2022 00:00;;;;
CB716000000087;CD716000000259;29/08/2022 00:00;;;;
CB716000000087;CD716000000305;29/08/2022 00:00;;;;
CB716000000088;CD716000000070;29/08/2022 00:00;;;;
CB716000000088;CD716000000089;29/08/2022 00:00;;;;
CB716000000088;CD716000000256;29/08/2022 00:00;;;;
CB716000000088;CD716000000257;29/08/2022 00:00;;;;
CB716000000089;CD716000000078;29/08/2022 00:00;;;;
CB716000000089;CD716000000081;29/08/2022 00:00;;;;
CB716000000090;CD716000000173;29/08/2022 00:00;;;;
CB716000000090;CD716000000174;29/08/2022 00:00;;;;
CB716000000091;CD716000000175;29/08/2022 00:00;;;;
CB716000000092;CD716000000011;29/08/2022 00:00;;;;
CB716000000092;CD716000000102;29/08/2022 00:00;;;;
CB716000000093;CD716000000245;29/08/2022 00:00;;;;
CB716000000093;CD716000000304;29/08/2022 00:00;;;;
CB716000000093;CD716000000317;29/08/2022 00:00;;;;
CB716000000094;CD716000000018;29/08/2022 00:00;;;;
CB716000000094;CD716000000095;29/08/2022 00:00;;;;
CB716000000094;CD716000000099;29/08/2022 00:00;;;;
CB716000000095;CD716000000039;29/08/2022 00:00;;;;
CB716000000095;CD716000000095;29/08/2022 00:00;;;;
CB716000000096;CD716000000019;29/08/2022 00:00;;;;
CB716000000096;CD716000000036;29/08/2022 00:00;;;;
CB716000000096;CD716000000245;29/08/2022 00:00;;;;
CB716000000096;CD716000000265;29/08/2022 00:00;;;;
CB716000000096;CD716000000274;29/08/2022 00:00;;;;
CB716000000096;CD716000000301;29/08/2022 00:00;;;;
CB716000000096;CD716000000302;29/08/2022 00:00;;;;
CB716000000096;CD716000000308;29/08/2022 00:00;;;;
CB716000000096;CD716000000310;29/08/2022 00:00;;;;
CB716000000098;CD716000000013;29/08/2022 00:00;;;;
CB716000000098;CD716000000149;29/08/2022 00:00;;;;
CB716000000098;CD716000000150;29/08/2022 00:00;;;;
CB716000000098;CD716000000151;29/08/2022 00:00;;;;
CB716000000098;CD716000000152;29/08/2022 00:00;;;;
CB716000000098;CD716000000153;29/08/2022 00:00;;;;
CB716000000098;CD716000000154;29/08/2022 00:00;;;;
CB716000000098;CD716000000155;29/08/2022 00:00;;;;
CB716000000099;CD716000000148;29/08/2022 00:00;;;;
CB716000000099;CD716000000156;29/08/2022 00:00;;;;
CB716000000099;CD716000000157;29/08/2022 00:00;;;;
CB716000000099;CD716000000163;29/08/2022 00:00;;;;
CB716000000099;CD716000000164;29/08/2022 00:00;;;;
CB716000000099;CD716000000165;29/08/2022 00:00;;;;
CB716000000099;CD716000000306;29/08/2022 00:00;;;;
CB716000000100;CD716000000145;29/08/2022 00:00;;;;
CB716000000100;CD716000000146;29/08/2022 00:00;;;;
CB716000000100;CD716000000147;29/08/2022 00:00;;;;
CB716000000101;CD716000000120;29/08/2022 00:00;;;;
CB716000000101;CD716000000121;29/08/2022 00:00;;;;
CB716000000101;CD716000000122;29/08/2022 00:00;;;;
CB716000000101;CD716000000123;29/08/2022 00:00;;;;
CB716000000101;CD716000000124;29/08/2022 00:00;;;;
CB716000000101;CD716000000125;29/08/2022 00:00;;;;
CB716000000101;CD716000000126;29/08/2022 00:00;;;;
CB716000000101;CD716000000127;29/08/2022 00:00;;;;
CB716000000101;CD716000000128;29/08/2022 00:00;;;;
CB716000000101;CD716000000129;29/08/2022 00:00;;;;
CB716000000101;CD716000000130;29/08/2022 00:00;;;;
CB716000000101;CD716000000131;29/08/2022 00:00;;;;
CB716000000101;CD716000000132;29/08/2022 00:00;;;;
CB716000000101;CD716000000133;29/08/2022 00:00;;;;
CB716000000101;CD716000000134;29/08/2022 00:00;;;;
CB716000000101;CD716000000135;29/08/2022 00:00;;;;
CB716000000101;CD716000000136;29/08/2022 00:00;;;;
CB716000000101;CD716000000137;29/08/2022 00:00;;;;
CB716000000101;CD716000000138;29/08/2022 00:00;;;;
CB716000000101;CD716000000139;29/08/2022 00:00;;;;
CB716000000101;CD716000000140;29/08/2022 00:00;;;;
CB716000000101;CD716000000141;29/08/2022 00:00;;;;
CB716000000101;CD716000000142;29/08/2022 00:00;;;;
CB716000000101;CD716000000143;29/08/2022 00:00;;;;
CB716000000101;CD716000000144;29/08/2022 00:00;;;;
CB716000000101;CD716000000318;29/08/2022 00:00;;;;
CB716000000101;CD716000000319;29/08/2022 00:00;;;;
CB716000000101;CD716000000320;29/08/2022 00:00;;;;
CB716000000102;CD716000000117;29/08/2022 00:00;;;;
CB716000000102;CD716000000118;29/08/2022 00:00;;;;
CB716000000102;CD716000000119;29/08/2022 00:00;;;;
CB716000000103;CD716000000112;29/08/2022 00:00;;;;
CB716000000103;CD716000000113;29/08/2022 00:00;;;;
CB716000000104;CD716000000114;29/08/2022 00:00;;;;
CB716000000104;CD716000000115;29/08/2022 00:00;;;;
CB716000000104;CD716000000116;29/08/2022 00:00;;;;
CB716000000105;CD716000000013;29/08/2022 00:00;;;;
CB716000000105;CD716000000158;29/08/2022 00:00;;;;
CB716000000105;CD716000000159;29/08/2022 00:00;;;;
CB716000000105;CD716000000160;29/08/2022 00:00;;;;
CB716000000105;CD716000000161;29/08/2022 00:00;;;;
CB716000000105;CD716000000162;29/08/2022 00:00;;;;
