bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP716000000074;"CD71 ; PBO - PT 601547USZ";71153/USZ/PT 601547;PT716000000088;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000075;"CD71 ; PBO - PT 601548USZ";71153/USZ/PT 601548;PT716000000169;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000068;"CD71 ; PBO R - PT 601549USZ";71153/USZ/PT 601549;PT716000000156;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000065;"CD71 ; PBO - PT 601550USZ";71153/USZ/PT 601550;PT716000000086;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000069;"CD71 ; PBO - PT 601551USZ";71153/USZ/PT 601551;PT716000000066;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000070;"CD71 ; PBO R - PT 601552USZ";71153/USZ/PT 601552;PT716000000195;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000054;"CD71 ; PBO - PT 601553USZ";71153/USZ/PT 601553;PT716000000146;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000052;"CD71 ; PBO - PT 601554USZ";71153/USZ/PT 601554;PT716000000211;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000063;"CD71 ; PBO - PT 601555USZ";71153/USZ/PT 601555;PT716000000171;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000053;"CD71 ; PBO - PT 601556USZ";71153/USZ/PT 601556;PT716000000209;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000022;"CD71 ; PBO - PT 601557USZ";71153/USZ/PT 601557;PT716000000121;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000021;"CD71 ; PBO - PT 601558USZ";71153/USZ/PT 601558;PT716000000168;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000019;"CD71 ; PBO - PT 601559USZ";71153/USZ/PT 601559;PT716000000108;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000023;"CD71 ; PBO - PT 601560USZ";71153/USZ/PT 601560;PT716000000120;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000024;"CD71 ; PBO - PT 601561USZ";71153/USZ/PT 601561;PT716000000119;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000051;"CD71 ; PBO - PT 601562USZ";71153/USZ/PT 601562;PT716000000117;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000050;"CD71 ; PBO - PT 601563USZ";71153/USZ/PT 601563;PT716000000104;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000103;"CD71 ; BPE - PT 601564USZ";71153/USZ/PT 601564;PT716000000002;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B036;BPE;RF000000000020;;;6;;;;;;29/08/2022 00:00;;;;
